count,obj_id,meta_url,source_url,source_path,source_md5,image_path,image_md5,title,artist_display_name,dominant_color,dominant_color_hex,r,g,b,r_jitter10x_bw,g_jitter10x_bw,b_jitter10x_bw,color_jitter10x_bw,gridX,gridY,umap_jitter_X,umap_jitter_Y,umapX,umapY,cluster
1,437831,https://collectionapi.metmuseum.org/public/collection/v1/objects/437831,https://images.metmuseum.org/CRDImages/ep/original/DP280391.jpg,unprocessed/image-437831.png,0001fb591978b995c715893b1ceaa25b,images/437831-00.png,051a38241bdfa68f13d4cb3faa6a523d,Jean Marc Nattier (1685–1766),Louis Tocqué,"(102, 82, 69)",#665245,102,82,69,89,91,66,#595b42,0.25714,0.89189,0.55814,0.82558,0.56957,0.83749,Cluster 7
2,11713,https://collectionapi.metmuseum.org/public/collection/v1/objects/11713,https://images.metmuseum.org/CRDImages/ad/original/ap26.129.1.jpg,unprocessed/image-11713.png,c1e4c5a42de6a4d6909d3820c16f9eb5,images/11713-00.png,605a90ab744bdbc9737da5620f2777ab,Portrait of a Gentleman,Charles Willson Peale,"(78, 79, 79)",#4e4f4f,78,79,79,76,101,74,#4c654a,-0.65714,0.72973,-0.09302,0.61628,-0.10413,0.5988,Cluster 3
3,436124,https://collectionapi.metmuseum.org/public/collection/v1/objects/436124,https://images.metmuseum.org/CRDImages/ep/original/DP338363.jpg,unprocessed/image-436124.png,fc990050e21d42e713201abbc7d1d7c0,images/436124-00.png,27a7a504024000f5069a1df9a1e9dc18,"The Artist's Cousin, Probably Mrs. William Bell (Mathilde Musson, 1841–1878)",Edgar Degas,"(142, 131, 117)",#8e8375,142,131,117,136,120,104,#887868,0.08571,0.08108,0.44186,0.17442,0.42389,0.17345,Cluster 9
4,437086,https://collectionapi.metmuseum.org/public/collection/v1/objects/437086,https://images.metmuseum.org/CRDImages/ep/original/DP143162.jpg,unprocessed/image-437086.png,c169864dd65278d364e030089cf2059a,images/437086-00.png,75c33057dd33d9ee87da3b0fa2dd911c,"Jacob van Dalen (1570–1644), Called Vallensis",Michiel Jansz. van Mierevelt,"(86, 72, 55)",#564837,86,72,55,77,75,39,#4d4b27,0.02857,-0.18919,0.39535,-0.19767,0.37796,-0.19451,Cluster 5
5,11746,https://collectionapi.metmuseum.org/public/collection/v1/objects/11746,https://images.metmuseum.org/CRDImages/ad/original/DP168943.jpg,unprocessed/image-11746.png,8c235ad91fc889c906df0789bbcc9e5c,images/11746-00.png,0b59687b500c0f83f10772ed67f6ad9b,Stephen Hooper,Henry Pelham,"(133, 114, 97)",#857261,133,114,97,146,120,66,#927842,-0.25714,0.2973,0.25581,0.47674,0.24362,0.47679,Cluster 9
6,742415,https://collectionapi.metmuseum.org/public/collection/v1/objects/742415,https://images.metmuseum.org/CRDImages/dp/original/DP879291.jpg,unprocessed/image-742415.png,76ec072a7de5e16207e24f6166d9dee0,images/742415-00.png,951a3745baf178d4c9f41438274f092d,Antonio Canova,Paul Adolphe Rajon,"(100, 97, 93)",#64615d,100,97,93,107,111,101,#6b6f65,0.2,-0.51351,0.25581,-0.68605,0.23823,-0.6819,Cluster 6
7,10850,https://collectionapi.metmuseum.org/public/collection/v1/objects/10850,https://images.metmuseum.org/CRDImages/ad/original/DT214417.jpg,unprocessed/image-10850.png,f7492141335906857f712ec589e1f2c3,images/10850-00.png,48fd74e3e7ba9a2d6c9637099cbf7059,Mathew B. Brady,Charles Loring Elliott,"(85, 69, 50)",#554532,85,69,50,103,67,61,#67433d,0.42857,-0.02703,0.53488,-0.33721,0.52616,-0.33527,Cluster 4
8,436043,https://collectionapi.metmuseum.org/public/collection/v1/objects/436043,https://images.metmuseum.org/CRDImages/ep/original/DP278968.jpg,unprocessed/image-436043.png,4ee2e2834b26c54cbc3b5dbe46a81c47,images/436043-00.png,947ca9db6f41bd3f2c0f51dc7faef6b1,"Friedrich III (1463–1525), the Wise, Elector of Saxony",Lucas Cranach the Elder and Workshop,"(82, 74, 62)",#524a3e,82,74,62,72,87,58,#48573a,-1,0.45946,-0.36047,0.44186,-0.35284,0.4434,Cluster 3
9,15127,https://collectionapi.metmuseum.org/public/collection/v1/objects/15127,https://images.metmuseum.org/CRDImages/ad/original/DP169139.jpg,unprocessed/image-15127.png,1646d251ea3c3793d65cec7d757831c5,images/15127-00.png,b742022788189051fe1cc002306e5db6,Ennion Williams,Charles Willson Peale,"(109, 120, 112)",#6d7870,109,120,112,103,114,110,#67726e,-0.2,0.45946,0.32558,0.52326,0.30841,0.51743,Cluster 9
10,421652,https://collectionapi.metmuseum.org/public/collection/v1/objects/421652,https://images.metmuseum.org/CRDImages/dp/original/DP829479.jpg,unprocessed/image-421652.png,0a7114c3daf13ef07bfc6b52a866ef77,images/421652-00.png,101489e064184412afa66e60721d2b44,"Benjamin Rouse, Junior",Sir Thomas Lawrence,"(238, 221, 198)",#eeddc6,238,221,198,231,222,186,#e7deba,0.48571,0.13514,0.56977,0.06977,0.56857,0.06595,Cluster 5
